A549_ID_0	ENCFF215ZJQ,ENCFF037NDD,ENCFF548VIM,ENCFF633PXA	ENCFF740RUT,ENCFF904HDB,ENCFF735JED
A549_ID_1	ENCFF215ZJQ,ENCFF037NDD,ENCFF548VIM,ENCFF633PXA	ENCFF348ILR,ENCFF786JZT,ENCFF056KDJ
adrenal_gland_ID_2	ENCFF739QZS	ENCFF366CJE
adrenal_gland_ID_3	ENCFF739QZS	ENCFF226RYX
A549_ID_4	ENCFF658VKV,ENCFF838CUA,ENCFF369CLX,ENCFF455QZC,ENCFF008YUA	ENCFF498XMT
A549_ID_5	ENCFF658VKV,ENCFF838CUA,ENCFF369CLX,ENCFF455QZC,ENCFF008YUA	ENCFF569EEN,ENCFF953GID,ENCFF887OAP
heart_left_ventricle_ID_6	ENCFF721LON	ENCFF977RSS
heart_left_ventricle_ID_7	ENCFF967KZG	ENCFF977RSS
heart_right_ventricle_ID_8	ENCFF505BWK	ENCFF038HDN
pancreas_ID_9	ENCFF254VRC	ENCFF553NLN
right_lobe_of_liver_ID_10	ENCFF854BNU	ENCFF833JWT
aorta_ID_11	ENCFF397WGK	ENCFF233YWT
CD14-positive_monocyte_ID_12	ENCFF856YMV	ENCFF541EYI
spleen_ID_13	ENCFF644HJM	ENCFF188TJD
spleen_ID_14	ENCFF644HJM	ENCFF451IRO
spleen_ID_15	ENCFF644HJM	ENCFF319NIE
spleen_ID_16	ENCFF644HJM	ENCFF975CQD
spleen_ID_17	ENCFF644HJM	ENCFF443NQO
spleen_ID_18	ENCFF644HJM	ENCFF395IUJ
spleen_ID_19	ENCFF191QFX	ENCFF188TJD
spleen_ID_20	ENCFF191QFX	ENCFF451IRO
spleen_ID_21	ENCFF191QFX	ENCFF319NIE
spleen_ID_22	ENCFF191QFX	ENCFF975CQD
spleen_ID_23	ENCFF191QFX	ENCFF443NQO
spleen_ID_24	ENCFF191QFX	ENCFF395IUJ
spleen_ID_25	ENCFF470LMW	ENCFF188TJD
spleen_ID_26	ENCFF470LMW	ENCFF451IRO
spleen_ID_27	ENCFF470LMW	ENCFF319NIE
spleen_ID_28	ENCFF470LMW	ENCFF975CQD
spleen_ID_29	ENCFF470LMW	ENCFF443NQO
spleen_ID_30	ENCFF470LMW	ENCFF395IUJ
lower_lobe_of_left_lung_ID_31	ENCFF679UMI	ENCFF603LSK
lower_lobe_of_left_lung_ID_32	ENCFF679UMI	ENCFF737JBA
lower_lobe_of_left_lung_ID_33	ENCFF368VTG	ENCFF603LSK
lower_lobe_of_left_lung_ID_34	ENCFF368VTG	ENCFF737JBA
lower_lobe_of_left_lung_ID_35	ENCFF638DOH	ENCFF603LSK
lower_lobe_of_left_lung_ID_36	ENCFF638DOH	ENCFF737JBA
heart_left_ventricle_ID_37	ENCFF721LON	ENCFF730PAZ
heart_left_ventricle_ID_38	ENCFF721LON	ENCFF989TEB
heart_left_ventricle_ID_39	ENCFF721LON	ENCFF717BBH
heart_left_ventricle_ID_40	ENCFF046WBW	ENCFF730PAZ
heart_left_ventricle_ID_41	ENCFF046WBW	ENCFF989TEB
heart_left_ventricle_ID_42	ENCFF046WBW	ENCFF717BBH
heart_left_ventricle_ID_43	ENCFF603MKF	ENCFF730PAZ
heart_left_ventricle_ID_44	ENCFF603MKF	ENCFF989TEB
heart_left_ventricle_ID_45	ENCFF603MKF	ENCFF717BBH
heart_left_ventricle_ID_46	ENCFF852AVB	ENCFF730PAZ
heart_left_ventricle_ID_47	ENCFF852AVB	ENCFF989TEB
heart_left_ventricle_ID_48	ENCFF852AVB	ENCFF717BBH
heart_left_ventricle_ID_49	ENCFF676NHC	ENCFF730PAZ
heart_left_ventricle_ID_50	ENCFF676NHC	ENCFF989TEB
heart_left_ventricle_ID_51	ENCFF676NHC	ENCFF717BBH
heart_left_ventricle_ID_52	ENCFF774IGM	ENCFF730PAZ
heart_left_ventricle_ID_53	ENCFF774IGM	ENCFF989TEB
heart_left_ventricle_ID_54	ENCFF774IGM	ENCFF717BBH
heart_left_ventricle_ID_55	ENCFF967KZG	ENCFF730PAZ
heart_left_ventricle_ID_56	ENCFF967KZG	ENCFF989TEB
heart_left_ventricle_ID_57	ENCFF967KZG	ENCFF717BBH
heart_left_ventricle_ID_58	ENCFF594GME	ENCFF730PAZ
heart_left_ventricle_ID_59	ENCFF594GME	ENCFF989TEB
heart_left_ventricle_ID_60	ENCFF594GME	ENCFF717BBH
heart_right_ventricle_ID_61	ENCFF505BWK	ENCFF205TFT
heart_right_ventricle_ID_62	ENCFF505BWK	ENCFF461LDR
heart_right_ventricle_ID_63	ENCFF140AYU	ENCFF205TFT
heart_right_ventricle_ID_64	ENCFF140AYU	ENCFF461LDR
heart_right_ventricle_ID_65	ENCFF170CRK	ENCFF205TFT
heart_right_ventricle_ID_66	ENCFF170CRK	ENCFF461LDR
heart_right_ventricle_ID_67	ENCFF072ZMZ	ENCFF205TFT
heart_right_ventricle_ID_68	ENCFF072ZMZ	ENCFF461LDR
heart_right_ventricle_ID_69	ENCFF646EXY	ENCFF205TFT
heart_right_ventricle_ID_70	ENCFF646EXY	ENCFF461LDR
heart_right_ventricle_ID_71	ENCFF810EZP	ENCFF205TFT
heart_right_ventricle_ID_72	ENCFF810EZP	ENCFF461LDR
heart_right_ventricle_ID_73	ENCFF746RHX	ENCFF205TFT
heart_right_ventricle_ID_74	ENCFF746RHX	ENCFF461LDR
heart_right_ventricle_ID_75	ENCFF129XZY	ENCFF205TFT
heart_right_ventricle_ID_76	ENCFF129XZY	ENCFF461LDR
heart_right_ventricle_ID_77	ENCFF035JJX	ENCFF205TFT
heart_right_ventricle_ID_78	ENCFF035JJX	ENCFF461LDR
pancreas_ID_79	ENCFF254VRC	ENCFF755UWS,ENCFF181NJO
pancreas_ID_80	ENCFF254VRC	ENCFF506MTS
pancreas_ID_81	ENCFF254VRC	ENCFF908YZG
pancreas_ID_82	ENCFF254VRC	ENCFF663EHB
pancreas_ID_83	ENCFF739DWU	ENCFF755UWS,ENCFF181NJO
pancreas_ID_84	ENCFF739DWU	ENCFF506MTS
pancreas_ID_85	ENCFF739DWU	ENCFF908YZG
